766740, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
779037, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PBN/OurOrganization/PlanningZoning/CityCouncilRedistricting/index.htm
779219, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/webcontent/dowd009218.pdf
780586, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PBN/OurOrganization/PlanningZoning/CityCouncilRedistricting/index.htm
781819, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
781916, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
781922, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
781926, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
781927, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
788482, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PBN/OurOrganization/PlanningZoning/CityCouncilRedistricting/index.htm
789916, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/marketingmaterial/oak057104.pdf
789916, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
789916, {{%content}}, field_about, http://www2.oaklandnet.com/gov...
789990, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
797365, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PBN/OurOrganization/PlanningZoning/CityCouncilRedistricting/index.htm
797388, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PBN/OurOrganization/PlanningZoning/CityCouncilRedistricting/index.htm
807228, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PBN/OurOrganization/PlanningZoning/CityCouncilRedistricting/index.htm
814003, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak060351.pdf
814003, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK068531.pdf
814003, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK070674.pdf
814003, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK068530.pdf
814003, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/oak066490.pdf
814003, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/minutes/oak066489.pdf
